yrTerm1Convertible.allUpfront,yrTerm1Convertible.noUpfront,yrTerm1Convertible.partialUpfront,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.noUpfront,yrTerm3Standard.partialUpfront,instance_type,on_demand
0.130023,0.139,0.132324,0.1129,0.121,0.115648,0.084132,0.093,0.085922,0.070167,0.081,0.074329,c5d.xlarge,0.192
0.185502,0.199,0.189635,0.159932,0.171,0.163621,0.11035,0.122,0.112317,0.092047,0.106,0.097973,m5dn.xlarge,0.272
2.758904,2.956,2.815648,2.399087,2.57,2.447973,1.787291,1.97,1.823872,1.488052,1.71,1.583514,c5.metal,4.08
0.234932,0.252,0.239863,0.202283,0.217,0.206196,0.157763,0.174,0.160479,0.129338,0.149,0.137798,m5a.2xlarge,0.344
2.418037,2.591,2.467676,2.10274,2.253,2.145831,1.513927,1.668,1.544412,1.26054,1.448,1.34151,r5n.12xlarge,3.576
1.034589,1.108,1.055854,0.899658,0.964,0.918018,0.670244,0.739,0.683971,0.558029,0.641,0.593804,c5.9xlarge,1.53
0.177968,0.191,0.181753,0.15411,0.165,0.157653,0.122489,0.135,0.124481,0.098516,0.113,0.104397,r5ad.xlarge,0.262
3.159703,3.385,3.2241,2.709475,2.903,2.76442,2.120548,2.337,2.163925,1.73261,1.991,1.843613,m5.24xlarge,4.608
0.201484,0.216,0.205854,0.175228,0.188,0.178384,0.12618,0.139,0.128384,0.105061,0.121,0.11186,r5n.xlarge,0.298
3.992694,4.278,4.0741,3.447717,3.694,3.518018,2.467085,2.719,2.517714,2.054148,2.36,2.185656,i3en.12xlarge,5.424
7.985274,8.556,8.148087,6.895548,7.388,7.036151,4.93417,5.438,5.034428,4.108333,4.72,4.370274,i3en.metal,10.848
1.853539,1.986,1.891662,1.594635,1.709,1.627584,1.238584,1.365,1.263925,1.019711,1.172,1.08439,m5d.12xlarge,2.712
0.05742,0.062,0.058338,0.05,0.054,0.051457,0.037253,0.041,0.037988,0.031012,0.036,0.032476,c5.large,0.085
0.225799,0.242,0.230183,0.196347,0.21,0.200228,0.141743,0.156,0.144298,0.118379,0.136,0.125976,r5dn.xlarge,0.334
0.073059,0.078,0.074215,0.06347,0.068,0.06442,0.040982,0.045,0.04189,0.034132,0.039,0.036151,c5n.large,0.108
